Kt_Kz,Datum,Verfahren,n,Anzahlwohnungen,Anzahl_Erstwohnungen,anteil_Erstwohnungen,anteil_zweitwohnungen,Kt_No
BL,2021-03-01,1,86,144074,129956,89.74616279069768,10.253837209302326,13
BL,2021-10-01,1,86,144074,129956,89.74616279069768,10.253837209302326,13
BL,2022-03-01,1,86,145805,131433,89.65058139534884,10.349418604651163,13
BL,2022-10-01,1,86,145805,131433,89.65058139534884,10.349418604651163,13
BL,2023-03-01,1,85,147549,133029,89.65383720930232,10.346162790697674,13
BL,2023-03-01,4,1,147549,133029,89.65383720930232,10.346162790697674,13
BS,2019-03-01,1,3,109699,96322,90.80666666666667,9.193333333333333,12
BS,2019-10-01,1,3,109699,96322,90.80666666666667,9.193333333333333,12
BS,2020-03-01,1,3,110775,97291,91.21333333333334,8.786666666666667,12
BS,2020-10-01,1,3,110775,97291,91.21333333333334,8.786666666666667,12
BS,2021-03-01,1,3,111971,97541,92.11,7.89,12
BS,2021-10-01,1,3,111971,97541,92.11,7.89,12
BS,2022-03-01,1,3,113284,98205,90.59333333333333,9.406666666666666,12
BS,2022-10-01,1,3,113284,98205,90.59333333333333,9.406666666666666,12
BS,2023-03-01,1,3,114687,98991,91.01666666666667,8.983333333333334,12
FR,2019-03-01,1,128,150814,129565,87.59647058823529,12.403529411764707,10
FR,2019-03-01,2,7,150814,129565,87.59647058823529,12.403529411764707,10
FR,2019-03-01,3,1,150814,129565,87.59647058823529,12.403529411764707,10
FR,2019-10-01,1,128,150814,129565,87.59647058823529,12.403529411764707,10
FR,2019-10-01,2,7,150814,129565,87.59647058823529,12.403529411764707,10
FR,2019-10-01,8,1,150814,129565,87.59647058823529,12.403529411764707,10
FR,2020-03-01,1,124,154279,132182,87.42593984962406,12.57421052631579,10
FR,2020-03-01,2,8,154279,132182,87.42593984962406,12.57421052631579,10
FR,2020-03-01,4,1,154279,132182,87.42593984962406,12.57421052631579,10
FR,2020-10-01,1,124,154279,132182,87.42593984962406,12.57421052631579,10
FR,2020-10-01,2,8,154279,132182,87.42593984962406,12.57421052631579,10
FR,2020-10-01,7,1,154279,132182,87.42593984962406,12.57421052631579,10
FR,2021-03-01,1,120,157732,135076,87.52359375,12.47640625,10
FR,2021-03-01,2,8,157732,135076,87.52359375,12.47640625,10
FR,2021-10-01,1,120,157732,135076,87.52359375,12.47640625,10
FR,2021-10-01,2,8,157732,135076,87.52359375,12.47640625,10
FR,2022-03-01,1,118,160244,138108,87.96357142857143,12.036428571428571,10
FR,2022-03-01,2,8,160244,138108,87.96357142857143,12.036428571428571,10
FR,2022-10-01,1,118,160244,138108,87.96357142857143,12.036428571428571,10
FR,2022-10-01,2,8,160244,138108,87.96357142857143,12.036428571428571,10
FR,2023-03-01,1,118,162947,141080,88.24849206349207,11.751507936507936,10
FR,2023-03-01,2,8,162947,141080,88.24849206349207,11.751507936507936,10
GE,2019-03-01,1,44,234442,198529,85.82955555555556,14.170444444444444,25
GE,2019-03-01,4,1,234442,198529,85.82955555555556,14.170444444444444,25
GE,2019-10-01,1,44,234442,198529,85.82955555555556,14.170444444444444,25
GE,2019-10-01,7,1,234442,198529,85.82955555555556,14.170444444444444,25
GE,2020-03-01,1,45,236782,200264,86.10355555555556,13.896444444444445,25
GE,2020-10-01,1,45,236782,200264,86.10355555555556,13.896444444444445,25
GE,2021-03-01,1,45,239005,202468,86.51933333333334,13.480666666666666,25
GE,2021-10-01,1,45,239005,202468,86.51933333333334,13.480666666666666,25
GE,2022-03-01,1,44,242351,204233,86.4071111111111,13.59288888888889,25
GE,2022-03-01,4,1,242351,204233,86.4071111111111,13.59288888888889,25
GE,2022-10-01,1,44,242351,204233,86.4071111111111,13.59288888888889,25
GE,2022-10-01,7,1,242351,204233,86.4071111111111,13.59288888888889,25
GE,2023-03-01,1,45,245856,207333,86.40444444444445,13.595555555555556,25
GL,2019-03-01,1,2,22388,17827,81.41666666666667,18.583333333333336,8
GL,2019-03-01,2,1,22388,17827,81.41666666666667,18.583333333333336,8
GL,2019-10-01,1,2,22388,17827,81.41666666666667,18.583333333333336,8
GL,2019-10-01,2,1,22388,17827,81.41666666666667,18.583333333333336,8
GL,2020-03-01,1,2,22637,18039,79.94333333333333,20.056666666666665,8
GL,2020-03-01,2,1,22637,18039,79.94333333333333,20.056666666666665,8
GL,2020-10-01,1,2,22637,18039,79.94333333333333,20.056666666666665,8
GL,2020-10-01,2,1,22637,18039,79.94333333333333,20.056666666666665,8
GL,2021-03-01,1,2,22798,18237,79.94333333333334,20.056666666666665,8
GL,2021-03-01,2,1,22798,18237,79.94333333333334,20.056666666666665,8
GL,2021-10-01,1,2,22798,18237,79.94333333333334,20.056666666666665,8
GL,2021-10-01,2,1,22798,18237,79.94333333333334,20.056666666666665,8
GL,2022-03-01,1,2,23028,18531,80.26666666666667,19.733333333333334,8
GL,2022-03-01,2,1,23028,18531,80.26666666666667,19.733333333333334,8
GL,2022-10-01,1,2,23028,18531,80.26666666666667,19.733333333333334,8
GL,2022-10-01,2,1,23028,18531,80.26666666666667,19.733333333333334,8
GL,2023-03-01,1,2,23033,18798,82,18,8
GL,2023-03-01,2,1,23033,18798,82,18,8
GR,2019-03-01,1,22,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-03-01,2,77,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-03-01,3,5,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-03-01,4,2,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-10-01,1,22,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-10-01,2,77,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-10-01,5,3,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-10-01,6,1,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-10-01,7,1,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-10-01,8,2,173013,91174,54.79452830188679,45.20556603773585,18
GR,2020-03-01,1,24,174441,92121,54.607142857142854,45.392857142857146,18
GR,2020-03-01,2,78,174441,92121,54.607142857142854,45.392857142857146,18
GR,2020-03-01,3,2,174441,92121,54.607142857142854,45.392857142857146,18
GR,2020-03-01,4,1,174441,92121,54.607142857142854,45.392857142857146,18
GR,2020-10-01,1,24,174441,92121,54.607142857142854,45.392857142857146,18
GR,2020-10-01,2,78,174441,92121,54.607142857142854,45.392857142857146,18
GR,2020-10-01,5,2,174441,92121,54.607142857142854,45.392857142857146,18
GR,2020-10-01,6,1,174441,92121,54.607142857142854,45.392857142857146,18
GR,2021-03-01,1,25,175936,93159,54.947722772277224,45.052475247524754,18
GR,2021-03-01,2,75,175936,93159,54.947722772277224,45.052475247524754,18
GR,2021-03-01,3,1,175936,93159,54.947722772277224,45.052475247524754,18
GR,2021-10-01,1,25,175936,93159,54.947722772277224,45.052475247524754,18
GR,2021-10-01,2,75,175936,93159,54.947722772277224,45.052475247524754,18
GR,2021-10-01,5,1,175936,93159,54.947722772277224,45.052475247524754,18
GR,2022-03-01,1,26,177328,94158,55.344257425742576,44.655841584158416,18
GR,2022-03-01,2,75,177328,94158,55.344257425742576,44.655841584158416,18
GR,2022-10-01,1,26,177328,94158,55.344257425742576,44.655841584158416,18
GR,2022-10-01,2,75,177328,94158,55.344257425742576,44.655841584158416,18
GR,2023-03-01,1,25,179452,94979,54.71158415841584,45.28841584158416,18
GR,2023-03-01,2,75,179452,94979,54.71158415841584,45.28841584158416,18
GR,2023-03-01,4,1,179452,94979,54.71158415841584,45.28841584158416,18
JU,2019-03-01,1,42,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-03-01,2,8,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-03-01,3,2,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-03-01,4,1,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-10-01,1,42,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-10-01,2,8,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-10-01,5,1,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-10-01,6,1,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-10-01,8,1,37832,31892,83.2422641509434,16.757735849056605,26
JU,2020-03-01,1,42,38301,32303,83.38169811320755,16.61830188679245,26
JU,2020-03-01,2,9,38301,32303,83.38169811320755,16.61830188679245,26
JU,2020-03-01,3,1,38301,32303,83.38169811320755,16.61830188679245,26
JU,2020-03-01,4,1,38301,32303,83.38169811320755,16.61830188679245,26
JU,2020-10-01,1,42,38301,32303,83.38169811320755,16.61830188679245,26
JU,2020-10-01,2,9,38301,32303,83.38169811320755,16.61830188679245,26
JU,2020-10-01,5,1,38301,32303,83.38169811320755,16.61830188679245,26
JU,2020-10-01,7,1,38301,32303,83.38169811320755,16.61830188679245,26
JU,2021-03-01,1,42,38899,32736,83.54471698113207,16.455471698113207,26
JU,2021-03-01,2,8,38899,32736,83.54471698113207,16.455471698113207,26
JU,2021-03-01,3,1,38899,32736,83.54471698113207,16.455471698113207,26
JU,2021-03-01,4,2,38899,32736,83.54471698113207,16.455471698113207,26
JU,2021-10-01,1,42,38899,32736,83.54471698113207,16.455471698113207,26
JU,2021-10-01,2,8,38899,32736,83.54471698113207,16.455471698113207,26
JU,2021-10-01,5,1,38899,32736,83.54471698113207,16.455471698113207,26
JU,2021-10-01,6,2,38899,32736,83.54471698113207,16.455471698113207,26
JU,2022-03-01,1,41,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-03-01,2,7,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-03-01,3,3,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-03-01,4,2,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-10-01,1,41,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-10-01,2,7,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-10-01,5,2,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-10-01,6,1,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-10-01,7,1,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-10-01,8,1,39498,33099,83.36830188679245,16.63169811320755,26
JU,2023-03-01,1,42,39964,33402,83.27509803921569,16.72490196078431,26
JU,2023-03-01,2,8,39964,33402,83.27509803921569,16.72490196078431,26
JU,2023-03-01,3,1,39964,33402,83.27509803921569,16.72490196078431,26
LU,2019-03-01,1,79,197965,175208,88.54036144578313,11.459638554216868,3
LU,2019-03-01,2,3,197965,175208,88.54036144578313,11.459638554216868,3
LU,2019-03-01,4,1,197965,175208,88.54036144578313,11.459638554216868,3
LU,2019-10-01,1,79,197965,175208,88.54036144578313,11.459638554216868,3
LU,2019-10-01,2,3,197965,175208,88.54036144578313,11.459638554216868,3
LU,2019-10-01,7,1,197965,175208,88.54036144578313,11.459638554216868,3
LU,2020-03-01,1,79,201129,177823,88.45585365853658,11.544146341463415,3
LU,2020-03-01,2,3,201129,177823,88.45585365853658,11.544146341463415,3
LU,2020-10-01,1,79,201129,177823,88.45585365853658,11.544146341463415,3
LU,2020-10-01,2,3,201129,177823,88.45585365853658,11.544146341463415,3
LU,2021-03-01,1,77,203787,180986,88.832875,11.167125,3
LU,2021-03-01,2,3,203787,180986,88.832875,11.167125,3
LU,2021-10-01,1,77,203787,180986,88.832875,11.167125,3
LU,2021-10-01,2,3,203787,180986,88.832875,11.167125,3
LU,2022-03-01,1,77,206044,183520,89.205,10.795,3
LU,2022-03-01,2,3,206044,183520,89.205,10.795,3
LU,2022-10-01,1,77,206044,183520,89.205,10.795,3
LU,2022-10-01,2,3,206044,183520,89.205,10.795,3
LU,2023-03-01,1,77,208309,186914,89.401125,10.598875,3
LU,2023-03-01,2,3,208309,186914,89.401125,10.598875,3
NE,2019-03-01,1,26,94674,80487,83.19129032258064,16.808709677419355,24
NE,2019-03-01,2,4,94674,80487,83.19129032258064,16.808709677419355,24
NE,2019-03-01,3,1,94674,80487,83.19129032258064,16.808709677419355,24
NE,2019-10-01,1,26,94674,80487,83.19129032258064,16.808709677419355,24
NE,2019-10-01,2,4,94674,80487,83.19129032258064,16.808709677419355,24
NE,2019-10-01,5,1,94674,80487,83.19129032258064,16.808709677419355,24
NE,2020-03-01,1,26,95563,81020,83.19258064516129,16.80741935483871,24
NE,2020-03-01,2,4,95563,81020,83.19258064516129,16.80741935483871,24
NE,2020-03-01,4,1,95563,81020,83.19258064516129,16.80741935483871,24
NE,2020-10-01,1,26,95563,81020,83.19258064516129,16.80741935483871,24
NE,2020-10-01,2,4,95563,81020,83.19258064516129,16.80741935483871,24
NE,2020-10-01,6,1,95563,81020,83.19258064516129,16.80741935483871,24
NE,2021-03-01,1,22,96395,81456,83.96703703703703,16.032962962962962,24
NE,2021-03-01,2,4,96395,81456,83.96703703703703,16.032962962962962,24
NE,2021-03-01,3,1,96395,81456,83.96703703703703,16.032962962962962,24
NE,2021-10-01,1,22,96395,81456,83.96703703703703,16.032962962962962,24
NE,2021-10-01,2,4,96395,81456,83.96703703703703,16.032962962962962,24
NE,2021-10-01,5,1,96395,81456,83.96703703703703,16.032962962962962,24
NE,2022-03-01,1,23,97214,81981,84.20185185185186,15.798148148148147,24
NE,2022-03-01,2,3,97214,81981,84.20185185185186,15.798148148148147,24
NE,2022-03-01,3,1,97214,81981,84.20185185185186,15.798148148148147,24
NE,2022-10-01,1,23,97214,81981,84.20185185185186,15.798148148148147,24
NE,2022-10-01,2,3,97214,81981,84.20185185185186,15.798148148148147,24
NE,2022-10-01,5,1,97214,81981,84.20185185185186,15.798148148148147,24
NE,2023-03-01,1,24,97680,82946,84.10148148148149,15.898518518518518,24
NE,2023-03-01,2,3,97680,82946,84.10148148148149,15.898518518518518,24
NW,2019-03-01,1,10,21777,18860,87.08545454545454,12.914545454545454,7
NW,2019-03-01,2,1,21777,18860,87.08545454545454,12.914545454545454,7
NW,2019-10-01,1,10,21777,18860,87.08545454545454,12.914545454545454,7
NW,2019-10-01,2,1,21777,18860,87.08545454545454,12.914545454545454,7
NW,2020-03-01,1,10,21811,18941,86.84818181818181,13.151818181818182,7
NW,2020-03-01,2,1,21811,18941,86.84818181818181,13.151818181818182,7
NW,2020-10-01,1,10,21811,18941,86.84818181818181,13.151818181818182,7
NW,2020-10-01,2,1,21811,18941,86.84818181818181,13.151818181818182,7
NW,2021-03-01,1,10,22142,19240,87.49909090909091,12.500909090909092,7
NW,2021-03-01,2,1,22142,19240,87.49909090909091,12.500909090909092,7
NW,2021-10-01,1,10,22142,19240,87.49909090909091,12.500909090909092,7
NW,2021-10-01,2,1,22142,19240,87.49909090909091,12.500909090909092,7
NW,2022-03-01,1,10,22461,19643,87.90363636363637,12.096363636363636,7
NW,2022-03-01,2,1,22461,19643,87.90363636363637,12.096363636363636,7
NW,2022-10-01,1,10,22461,19643,87.90363636363637,12.096363636363636,7
NW,2022-10-01,2,1,22461,19643,87.90363636363637,12.096363636363636,7
NW,2023-03-01,1,10,22776,19937,87.74454545454546,12.255454545454546,7
NW,2023-03-01,2,1,22776,19937,87.74454545454546,12.255454545454546,7
OW,2019-03-01,1,6,21427,15826,78.83285714285714,21.167142857142856,6
OW,2019-03-01,2,1,21427,15826,78.83285714285714,21.167142857142856,6
OW,2019-10-01,1,6,21427,15826,78.83285714285714,21.167142857142856,6
OW,2019-10-01,2,1,21427,15826,78.83285714285714,21.167142857142856,6
OW,2020-03-01,1,6,21527,15939,79.20285714285714,20.797142857142855,6
OW,2020-03-01,2,1,21527,15939,79.20285714285714,20.797142857142855,6
OW,2020-10-01,1,6,21527,15939,79.20285714285714,20.797142857142855,6
OW,2020-10-01,2,1,21527,15939,79.20285714285714,20.797142857142855,6
OW,2021-03-01,1,6,21948,16169,79.08285714285715,20.917142857142856,6
OW,2021-03-01,2,1,21948,16169,79.08285714285715,20.917142857142856,6
OW,2021-10-01,1,6,21948,16169,79.08285714285715,20.917142857142856,6
OW,2021-10-01,2,1,21948,16169,79.08285714285715,20.917142857142856,6
OW,2022-03-01,1,6,22169,16394,79.24142857142857,20.75857142857143,6
OW,2022-03-01,2,1,22169,16394,79.24142857142857,20.75857142857143,6
OW,2022-10-01,1,6,22169,16394,79.24142857142857,20.75857142857143,6
OW,2022-10-01,2,1,22169,16394,79.24142857142857,20.75857142857143,6
OW,2023-03-01,1,6,22377,16601,79.42142857142858,20.57857142857143,6
OW,2023-03-01,2,1,22377,16601,79.42142857142858,20.57857142857143,6
SG,2019-03-01,1,70,256776,218751,85.3712987012987,14.628701298701298,17
SG,2019-03-01,2,7,256776,218751,85.3712987012987,14.628701298701298,17
SG,2019-10-01,1,70,256776,218751,85.3712987012987,14.628701298701298,17
SG,2019-10-01,2,7,256776,218751,85.3712987012987,14.628701298701298,17
SG,2020-03-01,1,69,260281,221781,85.34051948051948,14.65948051948052,17
SG,2020-03-01,2,7,260281,221781,85.34051948051948,14.65948051948052,17
SG,2020-03-01,4,1,260281,221781,85.34051948051948,14.65948051948052,17
SG,2020-10-01,1,69,260281,221781,85.34051948051948,14.65948051948052,17
SG,2020-10-01,2,7,260281,221781,85.34051948051948,14.65948051948052,17
SG,2020-10-01,7,1,260281,221781,85.34051948051948,14.65948051948052,17
SG,2021-03-01,1,70,263099,224765,85.47753246753247,14.522467532467532,17
SG,2021-03-01,2,7,263099,224765,85.47753246753247,14.522467532467532,17
SG,2021-10-01,1,70,263099,224765,85.47753246753247,14.522467532467532,17
SG,2021-10-01,2,7,263099,224765,85.47753246753247,14.522467532467532,17
SG,2022-03-01,1,70,266514,228168,86.15584415584415,13.844155844155845,17
SG,2022-03-01,2,7,266514,228168,86.15584415584415,13.844155844155845,17
SG,2022-10-01,1,70,266514,228168,86.15584415584415,13.844155844155845,17
SG,2022-10-01,2,7,266514,228168,86.15584415584415,13.844155844155845,17
SG,2023-03-01,1,68,269800,232269,86.47106666666667,13.528933333333333,17
SG,2023-03-01,2,6,269800,232269,86.47106666666667,13.528933333333333,17
SG,2023-03-01,3,1,269800,232269,86.47106666666667,13.528933333333333,17
SH,2019-03-01,1,26,42306,37072,87.91,12.09,14
SH,2019-10-01,1,26,42306,37072,87.91,12.09,14
SH,2020-03-01,1,26,42753,37637,88.22807692307693,11.771923076923077,14
SH,2020-10-01,1,26,42753,37637,88.22807692307693,11.771923076923077,14
SH,2021-03-01,1,26,43432,38240,88.46192307692307,11.538076923076924,14
SH,2021-10-01,1,26,43432,38240,88.46192307692307,11.538076923076924,14
SH,2022-03-01,1,26,44094,38808,88.74307692307693,11.256923076923076,14
SH,2022-10-01,1,26,44094,38808,88.74307692307693,11.256923076923076,14
SH,2023-03-01,1,26,44699,39611,88.58615384615385,11.413846153846155,14
SO,2019-03-01,1,108,137127,120974,89.1791743119266,10.82091743119266,11
SO,2019-03-01,2,1,137127,120974,89.1791743119266,10.82091743119266,11
SO,2019-10-01,1,108,137127,120974,89.1791743119266,10.82091743119266,11
SO,2019-10-01,2,1,137127,120974,89.1791743119266,10.82091743119266,11
SO,2020-03-01,1,108,138998,122549,88.93357798165138,11.066422018348623,11
SO,2020-03-01,2,1,138998,122549,88.93357798165138,11.066422018348623,11
SO,2020-10-01,1,108,138998,122549,88.93357798165138,11.066422018348623,11
SO,2020-10-01,2,1,138998,122549,88.93357798165138,11.066422018348623,11
SO,2021-03-01,1,106,140888,124253,89.24056074766355,10.759532710280373,11
SO,2021-03-01,2,1,140888,124253,89.24056074766355,10.759532710280373,11
SO,2021-10-01,1,106,140888,124253,89.24056074766355,10.759532710280373,11
SO,2021-10-01,2,1,140888,124253,89.24056074766355,10.759532710280373,11
SO,2022-03-01,1,106,142457,126118,89.53682242990654,10.463177570093459,11
SO,2022-03-01,2,1,142457,126118,89.53682242990654,10.463177570093459,11
SO,2022-10-01,1,106,142457,126118,89.53682242990654,10.463177570093459,11
SO,2022-10-01,2,1,142457,126118,89.53682242990654,10.463177570093459,11
SO,2023-03-01,1,105,143883,127908,89.89831775700935,10.10177570093458,11
SO,2023-03-01,3,1,143883,127908,89.89831775700935,10.10177570093458,11
SO,2023-03-01,4,1,143883,127908,89.89831775700935,10.10177570093458,11
SZ,2019-03-01,1,24,78822,67527,80.763,19.237,5
SZ,2019-03-01,2,6,78822,67527,80.763,19.237,5
SZ,2019-10-01,1,24,78822,67527,80.763,19.237,5
SZ,2019-10-01,2,6,78822,67527,80.763,19.237,5
SZ,2020-03-01,1,24,79738,68659,81.131,18.869,5
SZ,2020-03-01,2,6,79738,68659,81.131,18.869,5
SZ,2020-10-01,1,24,79738,68659,81.131,18.869,5
SZ,2020-10-01,2,6,79738,68659,81.131,18.869,5
SZ,2021-03-01,1,24,80305,69651,81.54166666666667,18.458333333333332,5
SZ,2021-03-01,2,6,80305,69651,81.54166666666667,18.458333333333332,5
SZ,2021-10-01,1,24,80305,69651,81.54166666666667,18.458333333333332,5
SZ,2021-10-01,2,6,80305,69651,81.54166666666667,18.458333333333332,5
SZ,2022-03-01,1,24,81247,71103,82.976,17.024,5
SZ,2022-03-01,2,6,81247,71103,82.976,17.024,5
SZ,2022-10-01,1,24,81247,71103,82.976,17.024,5
SZ,2022-10-01,2,6,81247,71103,82.976,17.024,5
SZ,2023-03-01,1,24,82154,71810,82.902,17.098,5
SZ,2023-03-01,2,6,82154,71810,82.902,17.098,5
TG,2019-03-01,1,78,134433,119297,88.717625,11.282375,20
TG,2019-03-01,3,1,134433,119297,88.717625,11.282375,20
TG,2019-03-01,4,1,134433,119297,88.717625,11.282375,20
TG,2019-10-01,1,78,134433,119297,88.717625,11.282375,20
TG,2019-10-01,7,1,134433,119297,88.717625,11.282375,20
TG,2019-10-01,8,1,134433,119297,88.717625,11.282375,20
TG,2020-03-01,1,79,136325,121305,88.576875,11.423125,20
TG,2020-03-01,2,1,136325,121305,88.576875,11.423125,20
TG,2020-10-01,1,79,136325,121305,88.576875,11.423125,20
TG,2020-10-01,2,1,136325,121305,88.576875,11.423125,20
TG,2021-03-01,1,79,138132,123260,88.97675,11.023249999999999,20
TG,2021-03-01,2,1,138132,123260,88.97675,11.023249999999999,20
TG,2021-10-01,1,79,138132,123260,88.97675,11.023249999999999,20
TG,2021-10-01,2,1,138132,123260,88.97675,11.023249999999999,20
TG,2022-03-01,1,79,140062,125351,89.26975,10.73025,20
